,id,submitter,authors,title,comments,journal-ref,doi,report-no,categories,license,abstract,versions,update_date,authors_parsed
1370004,2010.13674,Christina Niklaus,"Thiemo Wambsganss, Christina Niklaus, Matthias S\""ollner, Siegfried
  Handschuh, Jan Marco Leimeister",A Corpus for Argumentative Writing Support in German,"to be published in The 28th International Conference on Computational
  Linguistics (COLING 2020)",,,,cs.CL cs.LG,http://creativecommons.org/licenses/by/4.0/,"  In this paper, we present a novel annotation approach to capture claims and
premises of arguments and their relations in student-written persuasive peer
reviews on business models in German language. We propose an annotation scheme
based on annotation guidelines that allows to model claims and premises as well
as support and attack relations for capturing the structure of argumentative
discourse in student-written peer reviews. We conduct an annotation study with
three annotators on 50 persuasive essays to evaluate our annotation scheme. The
obtained inter-rater agreement of $\alpha=0.57$ for argument components and
$\alpha=0.49$ for argumentative relations indicates that the proposed
annotation scheme successfully guides annotators to moderate agreement.
Finally, we present our freely available corpus of 1,000 persuasive
student-written peer reviews on business models and our annotation guidelines
to encourage future research on the design and development of argumentative
writing support systems for students.
","[{'version': 'v1', 'created': 'Mon, 26 Oct 2020 15:52:12 GMT'}]",2020-10-27,"[['Wambsganss', 'Thiemo', ''], ['Niklaus', 'Christina', ''], ['Söllner', 'Matthias', ''], ['Handschuh', 'Siegfried', ''], ['Leimeister', 'Jan Marco', '']]"
1370018,2010.13688,Alexander Kalinowski,"Alexander Kalinowski, Yuan An","A Survey of Embedding Space Alignment Methods for Language and Knowledge
  Graphs","27 pages, 2 figures",,,,cs.CL cs.AI,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Neural embedding approaches have become a staple in the fields of computer
vision, natural language processing, and more recently, graph analytics. Given
the pervasive nature of these algorithms, the natural question becomes how to
exploit the embedding spaces to map, or align, embeddings of different data
sources. To this end, we survey the current research landscape on word,
sentence and knowledge graph embedding algorithms. We provide a classification
of the relevant alignment techniques and discuss benchmark datasets used in
this field of research. By gathering these diverse approaches into a singular
survey, we hope to further motivate research into alignment of embedding spaces
of varied data types and sources.
","[{'version': 'v1', 'created': 'Mon, 26 Oct 2020 16:08:13 GMT'}]",2020-10-27,"[['Kalinowski', 'Alexander', ''], ['An', 'Yuan', '']]"
1279583,2004.14813,Liying Cheng,"Liying Cheng, Dekun Wu, Lidong Bing, Yan Zhang, Zhanming Jie, Wei Lu,
  Luo Si",ENT-DESC: Entity Description Generation by Exploring Knowledge Graph,"11 pages, 6 figures, accepted by EMNLP 2020",,,,cs.CL,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Previous works on knowledge-to-text generation take as input a few RDF
triples or key-value pairs conveying the knowledge of some entities to generate
a natural language description. Existing datasets, such as WIKIBIO, WebNLG, and
E2E, basically have a good alignment between an input triple/pair set and its
output text. However, in practice, the input knowledge could be more than
enough, since the output description may only cover the most significant
knowledge. In this paper, we introduce a large-scale and challenging dataset to
facilitate the study of such a practical scenario in KG-to-text. Our dataset
involves retrieving abundant knowledge of various types of main entities from a
large knowledge graph (KG), which makes the current graph-to-sequence models
severely suffer from the problems of information loss and parameter explosion
while generating the descriptions. We address these challenges by proposing a
multi-graph structure that is able to represent the original graph information
more comprehensively. Furthermore, we also incorporate aggregation methods that
learn to extract the rich graph information. Extensive experiments demonstrate
the effectiveness of our model architecture.
","[{'version': 'v1', 'created': 'Thu, 30 Apr 2020 14:16:19 GMT'}, {'version': 'v2', 'created': 'Mon, 26 Oct 2020 07:33:32 GMT'}]",2020-10-27,"[['Cheng', 'Liying', ''], ['Wu', 'Dekun', ''], ['Bing', 'Lidong', ''], ['Zhang', 'Yan', ''], ['Jie', 'Zhanming', ''], ['Lu', 'Wei', ''], ['Si', 'Luo', '']]"
1295328,2006.00814,Maha Elbayad,"Maha Elbayad, Michael Ustaszewski, Emmanuelle Esperan\c{c}a-Rodier,
  Francis Brunet Manquat, Laurent Besacier","Online Versus Offline NMT Quality: An In-depth Analysis on
  English-German and German-English",Accepted at COLING 2020,,,,cs.CL,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  We conduct in this work an evaluation study comparing offline and online
neural machine translation architectures. Two sequence-to-sequence models:
convolutional Pervasive Attention (Elbayad et al. 2018) and attention-based
Transformer (Vaswani et al. 2017) are considered. We investigate, for both
architectures, the impact of online decoding constraints on the translation
quality through a carefully designed human evaluation on English-German and
German-English language pairs, the latter being particularly sensitive to
latency constraints. The evaluation results allow us to identify the strengths
and shortcomings of each model when we shift to the online setup.
","[{'version': 'v1', 'created': 'Mon, 1 Jun 2020 09:43:54 GMT'}, {'version': 'v2', 'created': 'Sat, 24 Oct 2020 13:36:00 GMT'}]",2020-10-27,"[['Elbayad', 'Maha', ''], ['Ustaszewski', 'Michael', ''], ['Esperança-Rodier', 'Emmanuelle', ''], ['Manquat', 'Francis Brunet', ''], ['Besacier', 'Laurent', '']]"
1369303,2010.12973,Andros Tjandra,"Andros Tjandra, Ruoming Pang, Yu Zhang, Shigeki Karita","Unsupervised Learning of Disentangled Speech Content and Style
  Representation",Submitted to ICASSP 2021,,,,cs.CL cs.SD eess.AS,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  We present an approach for unsupervised learning of speech representation
disentangling contents and styles. Our model consists of: (1) a local encoder
that captures per-frame information; (2) a global encoder that captures
per-utterance information; and (3) a conditional decoder that reconstructs
speech given local and global latent variables. Our experiments show that (1)
the local latent variables encode speech contents, as reconstructed speech can
be recognized by ASR with low word error rates (WER), even with a different
global encoding; (2) the global latent variables encode speaker style, as
reconstructed speech shares speaker identity with the source utterance of the
global encoding. Additionally, we demonstrate an useful application from our
pre-trained model, where we can train a speaker recognition model from the
global latent variables and achieve high accuracy by fine-tuning with as few
data as one label per speaker.
","[{'version': 'v1', 'created': 'Sat, 24 Oct 2020 20:16:03 GMT'}]",2020-10-27,"[['Tjandra', 'Andros', ''], ['Pang', 'Ruoming', ''], ['Zhang', 'Yu', ''], ['Karita', 'Shigeki', '']]"
1279693,2004.14923,Arturo Oncevay,"Arturo Oncevay, Barry Haddow, Alexandra Birch","Bridging Linguistic Typology and Multilingual Machine Translation with
  Multi-View Language Representations",Accepted at EMNLP 2020. Camera-ready version,,,,cs.CL,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Sparse language vectors from linguistic typology databases and learned
embeddings from tasks like multilingual machine translation have been
investigated in isolation, without analysing how they could benefit from each
other's language characterisation. We propose to fuse both views using singular
vector canonical correlation analysis and study what kind of information is
induced from each source. By inferring typological features and language
phylogenies, we observe that our representations embed typology and strengthen
correlations with language relationships. We then take advantage of our
multi-view language vector space for multilingual machine translation, where we
achieve competitive overall translation accuracy in tasks that require
information about language similarities, such as language clustering and
ranking candidates for multilingual transfer. With our method, which is also
released as a tool, we can easily project and assess new languages without
expensive retraining of massive multilingual or ranking models, which are major
disadvantages of related approaches.
","[{'version': 'v1', 'created': 'Thu, 30 Apr 2020 16:25:39 GMT'}, {'version': 'v2', 'created': 'Sun, 25 Oct 2020 20:51:46 GMT'}]",2020-10-27,"[['Oncevay', 'Arturo', ''], ['Haddow', 'Barry', ''], ['Birch', 'Alexandra', '']]"
1286997,2005.07202,Shoya Wada,"Shoya Wada, Toshihiro Takeda, Shiro Manabe, Shozo Konishi, Jun
  Kamohara, and Yasushi Matsumura","A pre-training technique to localize medical BERT and to enhance
  biomedical BERT","We made the pre-trained weights of ouBioBERT and the source code for
  fine-tuning freely available at
  https://github.com/sy-wada/blue_benchmark_with_transformers",,,,cs.CL,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Bidirectional Encoder Representations from Transformers (BERT) models for
medical specialties, such as BioBERT and clinicalBERT, have significantly
improved in performing biomedical text mining tasks and have enabled extracting
valuable information from biomedical literature; however, only English speakers
benefit due to the significant scarcity of high-quality medical documents, such
as PubMed, in each language. Therefore, we propose a method to train a
high-performance BERT model using a small corpus. We introduce the method to
train a BERT model on a small medical corpus both in English and in Japanese,
and we present the evaluation of each model in terms of the biomedical language
understanding evaluation (BLUE) benchmark and the medical document
classification task in Japanese, respectively. After confirming their
satisfactory performances, we applied our method to develop a model comparable
to the publicly available models. OuBioBERT, short for Bidirectional Encoder
Representations from Transformers for Biomedical Text Mining by Osaka
University, achieved the best score in terms of the BLUE benchmark. The total
score is 1.1 points above that of BioBERT and 0.3 points above that of the
ablated model trained without our proposed method. This proposed technique is
an effective approach to develop localized medical BERT models and to enhance
domain-specific models in the biomedical domain.
","[{'version': 'v1', 'created': 'Thu, 14 May 2020 18:00:01 GMT'}, {'version': 'v2', 'created': 'Sun, 25 Oct 2020 04:22:24 GMT'}]",2020-10-27,"[['Wada', 'Shoya', ''], ['Takeda', 'Toshihiro', ''], ['Manabe', 'Shiro', ''], ['Konishi', 'Shozo', ''], ['Kamohara', 'Jun', ''], ['Matsumura', 'Yasushi', '']]"
1369982,2010.13652,Thomas Winters,"Thomas Winters, Pieter Delobelle",Dutch Humor Detection by Generating Negative Examples,"Accepted at the Proceedings of the 32st Benelux Conference on
  Artificial Intelligence (BNAIC 2020) and the 29th Belgian Dutch Conference on
  Machine Learning (Benelearn 2020)",,,,cs.CL cs.AI,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Detecting if a text is humorous is a hard task to do computationally, as it
usually requires linguistic and common sense insights. In machine learning,
humor detection is usually modeled as a binary classification task, trained to
predict if the given text is a joke or another type of text. Rather than using
completely different non-humorous texts, we propose using text generation
algorithms for imitating the original joke dataset to increase the difficulty
for the learning algorithm. We constructed several different joke and non-joke
datasets to test the humor detection abilities of different language
technologies. In particular, we compare the humor detection capabilities of
classic neural network approaches with the state-of-the-art Dutch language
model RobBERT. In doing so, we create and compare the first Dutch humor
detection systems. We found that while other language models perform well when
the non-jokes came from completely different domains, RobBERT was the only one
that was able to distinguish jokes from generated negative examples. This
performance illustrates the usefulness of using text generation to create
negative datasets for humor recognition, and also shows that transformer models
are a large step forward in humor detection.
","[{'version': 'v1', 'created': 'Mon, 26 Oct 2020 15:15:10 GMT'}]",2020-10-27,"[['Winters', 'Thomas', ''], ['Delobelle', 'Pieter', '']]"
1369721,2010.13391,Amir Pouran Ben Veyseh,"Amir Pouran Ben Veyseh, Tuan Ngo Nguyen, Thien Huu Nguyen","Graph Transformer Networks with Syntactic and Semantic Structures for
  Event Argument Extraction",accepted at EMNLP 2020 findings,,,,cs.CL,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  The goal of Event Argument Extraction (EAE) is to find the role of each
entity mention for a given event trigger word. It has been shown in the
previous works that the syntactic structures of the sentences are helpful for
the deep learning models for EAE. However, a major problem in such prior works
is that they fail to exploit the semantic structures of the sentences to induce
effective representations for EAE. Consequently, in this work, we propose a
novel model for EAE that exploits both syntactic and semantic structures of the
sentences with the Graph Transformer Networks (GTNs) to learn more effective
sentence structures for EAE. In addition, we introduce a novel inductive bias
based on information bottleneck to improve generalization of the EAE models.
Extensive experiments are performed to demonstrate the benefits of the proposed
model, leading to state-of-the-art performance for EAE on standard datasets.
","[{'version': 'v1', 'created': 'Mon, 26 Oct 2020 07:41:40 GMT'}]",2020-10-27,"[['Veyseh', 'Amir Pouran Ben', ''], ['Nguyen', 'Tuan Ngo', ''], ['Nguyen', 'Thien Huu', '']]"
1369787,2010.13457,Henry Turner,"Henry Turner, Giulio Lovisotto and Ivan Martinovic","Speaker Anonymization with Distribution-Preserving X-Vector Generation
  for the VoicePrivacy Challenge 2020",,,,,cs.SD cs.CL cs.CR eess.AS,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  In this paper, we present a Distribution-Preserving Voice Anonymization
technique, as our submission to the VoicePrivacy Challenge 2020. We notice that
the challenge baseline system generates fake X-vectors which are very similar
to each other, significantly more so than those extracted from organic
speakers. This difference arises from averaging many X-vectors from a pool of
speakers in the anonymization processs, causing a loss of information. We
propose a new method to generate fake X-vectors which overcomes these
limitations by preserving the distributional properties of X-vectors and their
intra-similarity. We use population data to learn the properties of the
X-vector space, before fitting a generative model which we use to sample fake
X-vectors. We show how this approach generates X-vectors that more closely
follow the expected intra-similarity distribution of organic speaker X-vectors.
Our method can be easily integrated with others as the anonymization component
of the system and removes the need to distribute a pool of speakers to use
during the anonymization. Our approach leads to an increase in EER of up to
16.8\% in males and 8.4\% in females in scenarios where enrollment and trial
utterances are anonymized versus the baseline solution, demonstrating the
diversity of our generated voices.
","[{'version': 'v1', 'created': 'Mon, 26 Oct 2020 09:53:56 GMT'}]",2020-10-27,"[['Turner', 'Henry', ''], ['Lovisotto', 'Giulio', ''], ['Martinovic', 'Ivan', '']]"
1369712,2010.13382,Young Jin Kim,Young Jin Kim and Hany Hassan Awadalla,"FastFormers: Highly Efficient Transformer Models for Natural Language
  Understanding",Accepted to SustaiNLP 2020 at EMNLP 2020,,,,cs.CL,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Transformer-based models are the state-of-the-art for Natural Language
Understanding (NLU) applications. Models are getting bigger and better on
various tasks. However, Transformer models remain computationally challenging
since they are not efficient at inference-time compared to traditional
approaches. In this paper, we present FastFormers, a set of recipes to achieve
efficient inference-time performance for Transformer-based models on various
NLU tasks. We show how carefully utilizing knowledge distillation, structured
pruning and numerical optimization can lead to drastic improvements on
inference efficiency. We provide effective recipes that can guide practitioners
to choose the best settings for various NLU tasks and pretrained models.
Applying the proposed recipes to the SuperGLUE benchmark, we achieve from 9.8x
up to 233.9x speed-up compared to out-of-the-box models on CPU. On GPU, we also
achieve up to 12.4x speed-up with the presented methods. We show that
FastFormers can drastically reduce cost of serving 100 million requests from
4,223 USD to just 18 USD on an Azure F16s_v2 instance. This translates to a
sustainable runtime by reducing energy consumption 6.9x - 125.8x according to
the metrics used in the SustaiNLP 2020 shared task.
","[{'version': 'v1', 'created': 'Mon, 26 Oct 2020 07:25:15 GMT'}]",2020-10-27,"[['Kim', 'Young Jin', ''], ['Awadalla', 'Hany Hassan', '']]"
